snapped_at,price_btc,price_eth
2024-11-22,98509.11859102432,3365.9369715466096
2024-11-23,98927.494945534,3327.7571951719624
2024-11-24,97679.46381643032,3394.036961782547
2024-11-25,98015.9355289458,3368.7027619429946
2024-11-26,93004.70093103289,3417.291223691937
2024-11-27,91931.83077291829,3325.636532587645
2024-11-28,95981.18057210564,3666.188490437756
2024-11-29,95661.59595817851,3579.2407862475
2024-11-30,97453.2473451042,3598.1933212253616
2024-12-01,96513.14234698223,3709.9094391073327
2024-12-02,97311.70719084324,3708.8072387383017
2024-12-03,95833.1362300365,3643.855375704235
2024-12-04,96031.63097759832,3625.71045794972
2024-12-05,98881.4694561823,3839.443460715871
2024-12-06,97201.5003640774,3796.868867160128
2024-12-07,99973.85150659826,4013.726145388712
2024-12-08,99781.82999198174,4000.992076502189
2024-12-09,101235.3717025316,4015.7820212328807
2024-12-10,97353.94700820888,3713.313897997175
2024-12-11,96649.71446771533,3626.5886417775
2024-12-12,101123.61811033696,3828.1075883404096
2024-12-13,100000.80836535196,3878.850012073054
2024-12-14,101352.22971292294,3907.429659505336
2024-12-15,101367.01064553364,3866.995802034805
2024-12-16,104721.50151808978,3961.315466180232
2024-12-17,106074.10723541168,3992.857195846062
2024-12-18,106034.913402645,3879.406224010089
2024-12-19,100355.5761481501,3628.2624780444953
2024-12-20,97851.35377075804,3434.6754695380805
2024-12-21,97691.43431692652,3468.658920056454
2024-12-22,97202.82496847631,3337.5972231166807
2024-12-23,95094.27394862172,3275.8894274015142
2024-12-24,94644.9108546432,3414.6414419808
2024-12-25,98695.714007826,3497.555287927574
2024-12-26,99344.95417367227,3494.5109273631047
2024-12-27,95678.31244565404,3327.7897761683494
2024-12-28,94331.94727053076,3328.6111553091764
2024-12-29,95184.61945288602,3397.834120508516
2024-12-30,93663.44751964069,3357.330742971463
2024-12-31,92627.28213113276,3359.513941757392
2025-01-01,93507.85874741492,3336.6175137659498
2025-01-02,94384.1761153871,3348.967247123586
2025-01-03,96852.14681235077,3448.140436960939
2025-01-04,98084.34279280754,3604.291379593176
2025-01-05,98256.73876849932,3660.37804173532
2025-01-06,98364.58946599838,3635.854996180709
2025-01-07,102229.39453189744,3687.144714058831
2025-01-08,96952.09886774956,3380.0211263090155
2025-01-09,95016.71440989176,3325.130029353736
2025-01-10,92376.275783461,3219.09284475812
2025-01-11,94736.6267420969,3269.1759954060667
2025-01-12,94559.55167224212,3283.591322828503
2025-01-13,94454.77089638809,3264.070968533687
2025-01-14,94456.3493746993,3134.5520394596483
2025-01-15,96574.07768799194,3224.8006483414138
2025-01-16,100313.15239828422,3447.034047674796
2025-01-17,100044.57926776377,3309.44661399002
2025-01-18,104160.69358484232,3477.284285084809
2025-01-19,104334.61575724394,3309.0995676199964
2025-01-20,101275.33714814208,3208.1365439891497
2025-01-21,101764.90860170544,3263.069869880814
2025-01-22,106182.2368201815,3326.0285404709143
2025-01-23,103673.53509537788,3237.2996671291435
2025-01-24,104067.60991206949,3332.580893146162
2025-01-25,104835.19253555956,3311.8499838687
2025-01-26,104796.04077738234,3320.1314101789453
2025-01-27,102552.24874280208,3232.2767744705584
2025-01-28,101958.46953745594,3173.5346079397173
2025-01-29,101313.11264498268,3076.4937692857234
2025-01-30,103718.97939813643,3114.4358854363104
2025-01-31,104781.5135100103,3248.249484352305
2025-02-01,102382.39409722164,3296.390634843652
2025-02-02,100674.78762544956,3125.0386801320924
2025-02-03,97568.31653024876,2862.6976188716285
2025-02-04,101466.8606657039,2877.8138239498767
2025-02-05,98118.43921664466,2740.3809762760143
2025-02-06,96582.88682919052,2790.5521609256075
2025-02-07,96635.41875332213,2686.662316793651
2025-02-08,96558.4563096667,2623.4507017824767
2025-02-09,96558.23762501092,2635.6011418023404
2025-02-10,96548.57865379583,2632.5358220552475
2025-02-11,97399.98161383196,2660.2967996436387
2025-02-12,95739.9773707924,2603.0333698049267
2025-02-13,97836.18856127484,2736.27031360324
2025-02-14,96561.6639990985,2675.7090007037627
2025-02-15,97488.48148536457,2724.669833587396
2025-02-16,97569.95169430463,2692.8213863864253
2025-02-17,96149.3484548204,2659.9017474093457
2025-02-18,95776.15723852724,2741.9050800956124
2025-02-19,95495.89153299289,2669.494500689608
2025-02-20,96554.87156259285,2714.8018364720533
2025-02-21,98384.31738240314,2741.5933625994785
2025-02-22,96135.15541305284,2658.3470942919384
2025-02-23,96564.15414290236,2764.355233404291
2025-02-24,96327.46309127836,2827.1844084879804
2025-02-25,91396.76686930266,2503.103420098605
2025-02-26,88755.7693356979,2495.315451693047
2025-02-27,83900.11496524839,2325.853934699374
2025-02-28,84709.14477847965,2305.322937802984
2025-03-01,84441.9012237131,2235.204208608959
2025-03-02,86005.25629681018,2212.8243514969954
2025-03-03,94261.5328653844,2517.3382391622977
2025-03-04,86124.71418722175,2148.199533470228
2025-03-05,87310.80531078295,2171.496943535016
2025-03-06,90604.08098523636,2241.3841149187283
2025-03-07,90001.40087607042,2202.3207363495417
2025-03-08,86773.33597555371,2140.7498089428914
2025-03-09,86142.9833586432,2199.9995000805707
2025-03-10,80751.13893300897,2017.265460184326
2025-03-11,78783.94057934263,1879.1231054991024
2025-03-12,82799.1080292053,1921.309922758704
2025-03-13,83884.24578828987,1910.6551381032464
2025-03-14,81098.90052436228,1862.7949366490388
